Hindi,in English
जैसा,as
मैं,I
उसके,his
कि,that
वह,he
था,was
के लिए,for
पर,on
हैं,are
साथ,with
वे,they
हो,be
पर,at
एक,one
है,have
इस,this
से,from
द्वारा,by
गरम,hot
शब्द,word
लेकिन,but
क्या,what
कुछ,some
है,is
यह,it
आप,you
या,or
था,had
,the
की,of
तक,to
और,and
एक,a
में,in
हम,we
कर सकते हैं,can
बाहर,out
अन्य,other
थे,were
जो,which
कर,do
उनके,their
समय,time
अगर,if
होगा,will
कैसे,how
कहा,said
एक,an
प्रत्येक,each
बता,tell
करता है,does
सेट,set
तीन,three
चाहते हैं,want
हवा,air
अच्छी तरह से,well
भी,also
खेलने,play
छोटे,small
अंत,end
डाल,put
घर,home
पढ़ा,read
हाथ,hand
बंदरगाह,port
बड़ा,large
जादू,spell
जोड़,add
और भी,even
भूमि,land
यहाँ,here
चाहिए,must
बड़ा,big
उच्च,high
ऐसा,such
का पालन करें,follow
अधिनियम,act
क्यों,why
पूछना,ask
पुरुषों,men
परिवर्तन,change
चला गया,went
प्रकाश,light
तरह,kind
बंद,off
आवश्यकता,need
घर,house
तस्वीर,picture
कोशिश,try
हमें,us
फिर,again
पशु,animal
बिंदु,point
मां,mother
दुनिया,world
निकट,near
बनाना,build
आत्म,self
पृथ्वी,earth
पिता,father
किसी भी,any
नई,new
काम,work
हिस्सा,part
लेना,take
प्राप्त,get
जगह,place
निर्मित,made
जीना,live
जहां,where
के बाद,after
वापस,back
थोड़ा,little
केवल,only
दौर,round
आदमी,man
वर्ष,year
आया,came
शो,show
हर,every
अच्छा,good
मुझे,me
दे,give
हमारे,our
नीचे,under
नाम,name
बहुत,very
के माध्यम से,through
बस,just
फार्म,form
वाक्य,sentence
महान,great
लगता है,think
कहना,say
मदद,help
कम,low
रेखा,line
अलग,differ
बारी,turn
कारण,cause
ज्यादा,much
मतलब,mean
पहले,before
चाल,move
सही,right
लड़का,boy
पुराना,old
भी,too
वही,same
वह,she
सब,all
वहाँ,there
जब,when
ऊपर,up
उपयोग,use
अपने,your
रास्ता,way
के बारे में,about
कई,many
तो,then
उन्हें,them
लिखना,write
होगा,would
जैसा,like
तो,so
इन,these
उसके,her
लंबे समय तक,long
कर,make
बात,thing
देखना,see
उसे,him
दो,two
है,has
देखो,look
अधिक,more
दिन,day
सकता है,could
जाना,go
आ,come
किया,did
संख्या,number
ध्वनि,sound
नहीं,no
सबसे,most
लोग,people
मेरे,my
अधिक,over
पता,know
पानी,water
से,than
कॉल,call
पहले,first
कौन,who
मई,may
नीचे,down
पक्ष,side
गया,been
अब,now
लगता है,find
सिर,head
खड़े,stand
खुद,own
पेज,page
चाहिए,should
देश,country
पाया,found
जवाब,answer
स्कूल,school
बढ़ने,grow
अध्ययन,study
अब तक,still
सीखना,learn
संयंत्र,plant
कवर,cover
भोजन,food
सूरज,sun
चार,four
के बीच,between
राज्य,state
रखना,keep
आंख,eye
कभी नहीं,never
पिछले,last
चलो,let
सोचा,thought
शहर,city
पेड़,tree
पार,cross
खेत,farm
कठिन,hard
शुरुआत,start
हो सकता है,might
कहानी,story
देखा,saw
दूर,far
समुद्र,sea
आकर्षित,draw
छोड़ा,left
देर से,late
चलाने,run
ऐसा नहीं,don’t
जबकि,while
प्रेस,press
करीब,close
रात,night
असली,real
जीवन,life
कुछ,few
उत्तर,north
